ts,kama_L,ceo_L,ceo_S,TXF_abs,TXF_caa
2022-01-03 09:00:00,88.0,88.0,0.0,16920,17149
2022-01-03 09:30:00,53.0,53.0,0.0,16969,17202
2022-01-03 10:00:00,-124.0,-126.0,-2.0,16855,17078
2022-01-03 10:30:00,10.0,0.0,-10.0,16864,17088
2022-01-03 11:00:00,-5.0,0.0,5.0,16860,17083
2022-01-03 11:30:00,-47.0,0.0,45.0,16818,17038
2022-01-03 12:00:00,0.0,0.0,-4.0,16822,17042
2022-01-03 12:30:00,0.0,0.0,-19.0,16839,17061
2022-01-03 13:00:00,0.0,0.0,-18.0,16856,17079
2022-01-03 13:30:00,0.0,0.0,6.0,16850,17073
2022-01-03 14:00:00,0.0,0.0,-15.0,16864,17088
2022-01-03 15:30:00,0.0,0.0,9.0,16856,17079
2022-01-03 16:00:00,0.0,0.0,-11.0,16866,17090
2022-01-03 16:30:00,0.0,0.0,-12.0,16877,17102
2022-01-03 17:00:00,0.0,0.0,1.0,16876,17101
2022-01-03 17:30:00,0.0,-2.0,-5.0,16879,17104
2022-01-03 18:00:00,0.0,3.0,0.0,16882,17107
2022-01-03 18:30:00,0.0,11.0,0.0,16892,17118
2022-01-03 19:00:00,-2.0,8.0,0.0,16899,17126
2022-01-03 19:30:00,-2.0,-2.0,0.0,16897,17124
2022-01-03 20:00:00,4.0,4.0,0.0,16901,17128
2022-01-03 20:30:00,-4.0,-4.0,0.0,16897,17124
2022-01-03 21:00:00,0.0,0.0,0.0,16897,17124
2022-01-03 21:30:00,1.0,1.0,0.0,16898,17125
2022-01-03 22:00:00,-16.0,-16.0,0.0,16884,17109
2022-01-03 22:30:00,-3.0,-1.0,0.0,16883,17108
2022-01-03 23:00:00,0.0,-7.0,0.0,16876,17101
2022-01-03 23:30:00,0.0,48.0,0.0,16920,17149
2022-01-04 00:00:00,0.0,0.0,0.0,16920,17149
2022-01-04 00:30:00,0.0,-2.0,0.0,16919,17147
2022-01-04 01:00:00,0.0,12.0,0.0,16930,17159
2022-01-04 01:30:00,-2.0,10.0,0.0,16939,17169
2022-01-04 02:00:00,-9.0,-9.0,0.0,16931,17160
2022-01-04 02:30:00,5.0,5.0,0.0,16935,17165
2022-01-04 03:00:00,-1.0,-1.0,0.0,16934,17164
2022-01-04 03:30:00,3.0,3.0,0.0,16937,17167
2022-01-04 04:00:00,3.0,3.0,0.0,16940,17170
2022-01-04 04:30:00,-1.0,-1.0,0.0,16939,17169
2022-01-04 05:00:00,13.0,13.0,0.0,16951,17182
2022-01-04 09:00:00,22.0,22.0,0.0,16971,17204
2022-01-04 09:30:00,93.0,93.0,0.0,17057,17297
2022-01-04 10:00:00,-51.0,-51.0,0.0,17010,17246
2022-01-04 10:30:00,26.0,26.0,0.0,17034,17272
2022-01-04 11:00:00,0.0,0.0,0.0,17034,17272
2022-01-04 11:30:00,6.0,6.0,0.0,17039,17278
2022-01-04 12:00:00,10.0,10.0,0.0,17049,17288
2022-01-04 12:30:00,1.0,1.0,0.0,17050,17289
2022-01-04 13:00:00,10.0,10.0,0.0,17059,17299
2022-01-04 13:30:00,32.0,32.0,0.0,17088,17331
2022-01-04 14:00:00,0.0,0.0,0.0,17088,17331
2022-01-04 15:30:00,-3.0,-3.0,0.0,17086,17328
2022-01-04 16:00:00,13.0,13.0,0.0,17098,17341
2022-01-04 16:30:00,16.0,16.0,0.0,17112,17357
2022-01-04 17:00:00,3.0,3.0,0.0,17115,17360
2022-01-04 17:30:00,3.0,3.0,0.0,17118,17363
2022-01-04 18:00:00,2.0,2.0,0.0,17120,17365
2022-01-04 18:30:00,10.0,10.0,0.0,17129,17375
2022-01-04 19:00:00,2.0,2.0,0.0,17131,17377
2022-01-04 19:30:00,-2.0,-2.0,0.0,17129,17375
2022-01-04 20:00:00,-4.0,-4.0,0.0,17125,17371
2022-01-04 20:30:00,-13.0,-13.0,0.0,17113,17358
2022-01-04 21:00:00,7.0,7.0,0.0,17120,17365
2022-01-04 21:30:00,1.0,1.0,0.0,17121,17366
2022-01-04 22:00:00,-6.0,-6.0,0.0,17115,17360
2022-01-04 22:30:00,-3.0,-3.0,0.0,17112,17357
2022-01-04 23:00:00,29.0,29.0,0.0,17139,17386
2022-01-04 23:30:00,-4.0,-4.0,0.0,17135,17382
2022-01-05 00:00:00,-49.0,-49.0,0.0,17090,17333
2022-01-05 00:30:00,-28.0,-28.0,-2.0,17066,17307
2022-01-05 01:00:00,0.0,0.0,-12.0,17077,17319
2022-01-05 01:30:00,0.0,0.0,2.0,17075,17317
2022-01-05 02:00:00,0.0,0.0,8.0,17068,17309
2022-01-05 02:30:00,0.0,0.0,-2.0,17070,17311
2022-01-05 03:00:00,0.0,0.0,19.0,17052,17292
2022-01-05 03:30:00,0.0,0.0,-19.0,17070,17311
2022-01-05 04:00:00,0.0,0.0,-19.0,17087,17330
2022-01-05 04:30:00,0.0,0.0,-11.0,17098,17341
2022-01-05 05:00:00,0.0,0.0,6.0,17092,17335
2022-01-05 09:00:00,0.0,0.0,-9.0,17100,17344
2022-01-05 09:30:00,0.0,0.0,-2.0,17102,17346
2022-01-05 10:00:00,0.0,0.0,33.0,17072,17313
2022-01-05 10:30:00,0.0,0.0,-16.0,17087,17329
2022-01-05 11:00:00,0.0,0.0,21.0,17067,17308
2022-01-05 11:30:00,0.0,0.0,41.0,17029,17267
2022-01-05 12:00:00,0.0,0.0,-32.0,17059,17299
2022-01-05 12:30:00,0.0,0.0,13.0,17047,17286
2022-01-05 13:00:00,0.0,0.0,12.0,17036,17274
2022-01-05 13:30:00,0.0,0.0,-2.0,17038,17276
2022-01-05 14:00:00,0.0,0.0,-19.0,17055,17295
2022-01-05 15:30:00,0.0,0.0,-27.0,17080,17322
2022-01-05 16:00:00,0.0,0.0,-4.0,17084,17326
2022-01-05 16:30:00,-2.0,0.0,-5.0,17088,17331
2022-01-05 17:00:00,5.0,0.0,-5.0,17093,17336
2022-01-05 17:30:00,24.0,-2.0,-26.0,17115,17360
2022-01-05 18:00:00,3.0,3.0,0.0,17118,17363
2022-01-05 18:30:00,10.0,10.0,0.0,17127,17373
2022-01-05 19:00:00,-11.0,-11.0,0.0,17117,17362
2022-01-05 19:30:00,-5.0,-5.0,0.0,17112,17357
2022-01-05 20:00:00,3.0,3.0,0.0,17115,17360
2022-01-05 20:30:00,-1.0,-1.0,0.0,17114,17359
2022-01-05 21:00:00,-7.0,-7.0,0.0,17108,17352
2022-01-05 21:30:00,7.0,7.0,0.0,17114,17359
2022-01-05 22:00:00,11.0,11.0,0.0,17124,17370
2022-01-05 22:30:00,-12.0,-12.0,0.0,17113,17358
2022-01-05 23:00:00,-3.0,-3.0,0.0,17111,17355
2022-01-05 23:30:00,4.0,4.0,0.0,17114,17359
2022-01-06 00:00:00,-10.0,-10.0,0.0,17105,17349
2022-01-06 00:30:00,-19.0,-17.0,0.0,17089,17332
2022-01-06 01:00:00,0.0,-5.0,0.0,17085,17327
2022-01-06 01:30:00,0.0,17.0,0.0,17100,17344
2022-01-06 02:00:00,0.0,-28.0,0.0,17075,17316
2022-01-06 02:30:00,0.0,3.0,0.0,17077,17319
2022-01-06 03:00:00,0.0,-5.0,0.0,17073,17314
2022-01-06 03:30:00,0.0,-67.0,-2.0,17013,17249
2022-01-06 04:00:00,0.0,0.0,35.0,16980,17214
2022-01-06 04:30:00,0.0,0.0,40.0,16943,17174
2022-01-06 05:00:00,0.0,0.0,45.0,16902,17129
2022-01-06 09:00:00,0.0,0.0,-27.0,16927,17156
2022-01-06 09:30:00,0.0,0.0,-59.0,16981,17215
2022-01-06 10:00:00,0.0,0.0,23.0,16960,17192
2022-01-06 10:30:00,0.0,0.0,70.0,16896,17122
2022-01-06 11:00:00,0.0,0.0,2.0,16894,17120
2022-01-06 11:30:00,0.0,0.0,-8.0,16901,17128
2022-01-06 12:00:00,0.0,0.0,21.0,16882,17107
2022-01-06 12:30:00,0.0,0.0,1.0,16881,17106
2022-01-06 13:00:00,0.0,0.0,25.0,16858,17081
2022-01-06 13:30:00,0.0,0.0,-80.0,16932,17161
2022-01-06 14:00:00,0.0,0.0,11.0,16921,17150
2022-01-06 15:30:00,0.0,-2.0,-61.0,16976,17209
2022-01-06 16:00:00,0.0,-20.0,-2.0,16959,17191
2022-01-06 16:30:00,0.0,0.0,20.0,16941,17171
